show_id,review_text,sentiment,review_date
s2885,Loved it!,positive,2023-08-09
s6443,Pretty good,negative,2023-01-10
s6492,Not for me,negative,2024-08-05
s836,Could be better,neutral,2022-04-03
s6225,Loved it!,positive,2022-11-17
s8178,Would recommend,negative,2024-10-30
s519,Not for me,negative,2024-07-02
s1632,Didn't enjoy it,neutral,2024-07-05
s6716,Bad acting,negative,2022-04-05
s2084,Pretty good,negative,2024-08-16
s4148,Bad acting,negative,2022-03-12
s7866,Too slow,negative,2023-10-26
s1040,Loved it!,neutral,2024-08-26
s2222,Amazing visuals,neutral,2023-08-10
s3183,Would recommend,positive,2023-12-28
s2023,Pretty good,neutral,2023-01-03
s6337,Bad acting,neutral,2022-02-20
s8710,Loved it!,negative,2024-09-14
s7520,Amazing visuals,positive,2022-09-17
s6686,Amazing visuals,neutral,2022-06-07
s3028,Too slow,positive,2022-04-09
s5533,Not for me,neutral,2022-08-29
s2456,Would recommend,neutral,2022-07-21
s2374,Could be better,positive,2023-09-26
s1473,Would recommend,neutral,2024-01-16
s5314,Too slow,positive,2023-05-05
s7105,Great plot,positive,2023-08-02
s6660,Not for me,neutral,2023-06-11
s454,Pretty good,positive,2022-09-30
s4120,Not for me,positive,2024-02-25
s1657,Too slow,positive,2023-03-29
s7811,Too slow,positive,2022-12-13
s534,Pretty good,neutral,2024-03-26
s8405,Pretty good,positive,2023-02-18
s7756,Pretty good,negative,2023-03-07
s4442,Not for me,positive,2023-01-14
s6221,Loved it!,positive,2024-09-24
s5844,Bad acting,positive,2024-06-13
s8014,Didn't enjoy it,neutral,2023-03-04
s4517,Pretty good,neutral,2022-07-11
s5301,Bad acting,negative,2022-02-10
s5148,Didn't enjoy it,neutral,2022-05-16
s5578,Not for me,positive,2022-04-16
s2267,Bad acting,neutral,2023-06-03
s8447,Pretty good,negative,2024-03-24
s5325,Could be better,positive,2022-05-06
s5010,Too slow,positive,2023-02-04
s2454,Bad acting,neutral,2022-03-20
s4442,Amazing visuals,positive,2023-01-24
s5229,Amazing visuals,negative,2022-03-15
s4741,Bad acting,positive,2024-10-25
s1471,Pretty good,positive,2022-03-23
s8526,Would recommend,negative,2024-02-15
s2216,Pretty good,negative,2024-09-17
s5716,Not for me,positive,2022-10-05
s2165,Pretty good,negative,2024-04-19
s4687,Not for me,positive,2022-08-12
s1045,Would recommend,positive,2024-12-27
s3335,Could be better,negative,2023-08-29
s602,Not for me,neutral,2022-01-19
s2642,Great plot,positive,2023-10-02
s1386,Amazing visuals,positive,2022-04-07
s8569,Too slow,neutral,2024-12-11
s2772,Amazing visuals,positive,2022-06-24
s1692,Not for me,neutral,2022-12-14
s7721,Great plot,neutral,2022-01-01
s762,Loved it!,positive,2022-03-04
s6444,Could be better,neutral,2022-08-14
s4747,Could be better,negative,2023-02-27
s5863,Loved it!,positive,2024-11-08
s4873,Too slow,positive,2022-01-31
s5814,Would recommend,positive,2024-04-24
s8061,Didn't enjoy it,neutral,2023-09-25
s1534,Great plot,negative,2022-01-24
s2983,Not for me,positive,2024-04-16
s2190,Didn't enjoy it,positive,2024-09-09
s3594,Too slow,positive,2022-06-10
s7462,Would recommend,neutral,2022-04-24
s4887,Could be better,positive,2023-05-19
s4343,Not for me,negative,2024-08-12
s2166,Not for me,positive,2022-12-23
s6228,Would recommend,neutral,2022-06-18
s3379,Amazing visuals,neutral,2024-08-26
s648,Great plot,neutral,2022-08-30
s4307,Would recommend,positive,2022-05-19
s3967,Pretty good,neutral,2022-04-07
s7986,Pretty good,positive,2022-05-27
s3039,Would recommend,positive,2024-12-16
s853,Could be better,neutral,2024-12-01
s6119,Would recommend,neutral,2024-05-15
s3033,Bad acting,positive,2023-06-27
s6728,Too slow,positive,2023-11-23
s6567,Pretty good,negative,2024-10-22
s4631,Didn't enjoy it,negative,2024-06-22
s5345,Would recommend,positive,2023-12-31
s995,Pretty good,neutral,2022-11-27
s6670,Too slow,positive,2023-09-09
s4862,Too slow,neutral,2023-02-08
s3356,Didn't enjoy it,negative,2023-05-23
s7512,Not for me,positive,2024-11-04
s6735,Bad acting,neutral,2022-08-14
s1671,Would recommend,positive,2024-09-10
s3963,Loved it!,neutral,2024-05-14
s4996,Would recommend,neutral,2024-01-15
s6152,Not for me,negative,2023-05-08
s6240,Great plot,positive,2022-11-15
s1198,Amazing visuals,positive,2024-02-12
s7661,Could be better,positive,2023-03-28
s4393,Not for me,negative,2024-08-01
s5284,Too slow,neutral,2024-04-27
s8740,Loved it!,neutral,2024-10-13
s4335,Could be better,positive,2024-06-02
s2413,Pretty good,negative,2023-02-23
s6063,Would recommend,negative,2024-05-14
s7230,Could be better,neutral,2024-02-28
s5787,Pretty good,positive,2023-05-10
s6682,Amazing visuals,positive,2024-11-28
s2128,Pretty good,neutral,2022-06-11
s3788,Loved it!,neutral,2022-05-01
s182,Too slow,positive,2023-02-03
s3705,Not for me,neutral,2023-12-29
s8092,Didn't enjoy it,positive,2023-07-15
s8768,Not for me,neutral,2023-08-27
s1154,Not for me,neutral,2023-06-24
s2958,Pretty good,positive,2022-12-22
s4660,Would recommend,neutral,2023-10-22
s6811,Could be better,positive,2023-03-08
s88,Didn't enjoy it,positive,2024-12-24
s6781,Didn't enjoy it,negative,2023-07-17
s665,Could be better,positive,2024-03-27
s4662,Could be better,positive,2023-12-12
s2442,Too slow,positive,2022-01-12
s3694,Loved it!,positive,2022-08-27
s2484,Amazing visuals,positive,2023-03-29
s4142,Loved it!,positive,2023-01-18
s6952,Could be better,neutral,2024-02-21
s3035,Would recommend,positive,2022-02-17
s767,Bad acting,neutral,2022-11-13
s7116,Bad acting,positive,2022-07-28
s787,Amazing visuals,positive,2023-07-31
s2253,Could be better,positive,2022-11-11
s7088,Bad acting,negative,2024-01-24
s6119,Amazing visuals,neutral,2024-11-25
s1189,Didn't enjoy it,neutral,2024-07-03
s3083,Amazing visuals,positive,2024-01-25
s2454,Didn't enjoy it,negative,2023-07-08
s2500,Too slow,positive,2023-02-07
s1663,Bad acting,positive,2022-02-08
s3963,Amazing visuals,neutral,2023-08-04
s2647,Amazing visuals,positive,2022-06-29
s6664,Amazing visuals,negative,2022-01-12
s1145,Would recommend,positive,2024-07-31
s8739,Amazing visuals,negative,2023-07-02
s5268,Would recommend,neutral,2022-03-04
s1220,Not for me,neutral,2024-04-23
s3791,Too slow,positive,2024-10-05
s1719,Not for me,positive,2022-02-03
s4254,Great plot,negative,2024-01-22
s3397,Not for me,positive,2022-02-18
s3625,Could be better,neutral,2023-10-20
s473,Didn't enjoy it,negative,2023-12-02
s1035,Could be better,positive,2024-12-16
s5805,Loved it!,neutral,2022-04-19
s5191,Not for me,neutral,2024-09-11
s6876,Bad acting,positive,2022-01-24
s2581,Pretty good,positive,2022-08-09
s7622,Not for me,positive,2022-11-11
s3405,Too slow,positive,2022-10-21
s8093,Not for me,neutral,2024-10-30
s8694,Would recommend,positive,2024-10-16
s8661,Loved it!,negative,2024-10-14
s6177,Amazing visuals,positive,2023-09-30
s2111,Loved it!,neutral,2022-09-24
s7799,Loved it!,neutral,2022-03-29
s8026,Didn't enjoy it,positive,2023-03-31
s586,Pretty good,positive,2024-01-27
s2883,Loved it!,neutral,2023-03-07
s3025,Didn't enjoy it,negative,2024-06-29
s4422,Amazing visuals,positive,2022-08-30
s1963,Could be better,positive,2023-12-03
s2826,Amazing visuals,positive,2024-06-20
s8061,Bad acting,positive,2024-01-11
s7636,Loved it!,neutral,2022-03-07
s8359,Loved it!,negative,2024-08-29
s6210,Could be better,positive,2023-01-13
s3848,Too slow,negative,2023-01-23
s928,Loved it!,positive,2024-02-20
s2311,Pretty good,neutral,2022-07-28
s2134,Great plot,positive,2022-01-16
s6825,Loved it!,positive,2024-09-12
s5559,Great plot,positive,2023-01-02
s5246,Amazing visuals,positive,2024-02-19
s2274,Not for me,neutral,2023-03-16
s4884,Too slow,neutral,2023-11-21
s108,Didn't enjoy it,positive,2024-11-25
s8544,Would recommend,negative,2024-04-26
s409,Too slow,positive,2023-02-26
s816,Would recommend,neutral,2023-08-31
s4996,Amazing visuals,positive,2022-01-20
s4419,Too slow,positive,2023-11-07
s2234,Didn't enjoy it,positive,2023-01-17
s3694,Would recommend,neutral,2023-09-01
s3871,Could be better,neutral,2022-05-23
s1836,Pretty good,positive,2022-03-03
s741,Too slow,positive,2022-08-26
s1056,Amazing visuals,positive,2024-07-15
s5157,Loved it!,neutral,2022-12-08
s200,Didn't enjoy it,neutral,2023-03-31
s6576,Would recommend,positive,2022-10-09
s7132,Would recommend,positive,2024-06-04
s3762,Pretty good,neutral,2024-10-21
s8153,Would recommend,positive,2023-12-24
s3871,Great plot,positive,2022-03-28
s7140,Bad acting,positive,2023-10-27
s5787,Great plot,positive,2024-05-11
s4681,Would recommend,neutral,2022-03-02
s1576,Didn't enjoy it,neutral,2024-03-07
s7838,Too slow,positive,2022-04-05
s287,Amazing visuals,neutral,2024-02-25
s394,Loved it!,positive,2024-08-18
s5148,Too slow,negative,2022-10-24
s760,Could be better,neutral,2023-11-25
s5846,Too slow,neutral,2023-02-03
s1202,Too slow,positive,2024-08-03
s1254,Amazing visuals,positive,2023-06-18
s5528,Pretty good,positive,2023-02-06
s3081,Would recommend,neutral,2022-05-10
s5564,Pretty good,positive,2022-10-19
s8319,Could be better,negative,2022-10-03
s5582,Not for me,negative,2024-06-30
s1407,Loved it!,neutral,2024-07-14
s7389,Great plot,negative,2022-02-24
s1023,Loved it!,positive,2024-01-09
s8541,Would recommend,positive,2024-11-15
s7809,Loved it!,positive,2024-02-04
s8546,Bad acting,neutral,2023-10-04
s3036,Great plot,positive,2023-12-25
s1401,Could be better,negative,2024-03-12
s1702,Would recommend,positive,2024-01-08
s3788,Didn't enjoy it,positive,2024-01-28
s6606,Could be better,negative,2023-07-21
s3162,Bad acting,positive,2022-12-06
s361,Great plot,positive,2022-06-02
s6422,Amazing visuals,neutral,2024-09-30
s966,Bad acting,positive,2023-03-03
s1433,Could be better,positive,2024-09-29
s4639,Would recommend,positive,2022-07-23
s1946,Not for me,positive,2022-11-21
s638,Would recommend,negative,2024-08-07
s3932,Great plot,negative,2024-08-08
s1579,Not for me,positive,2024-07-27
s1546,Pretty good,positive,2024-08-14
s4181,Great plot,positive,2024-06-12
s1140,Great plot,negative,2023-03-11
s1510,Bad acting,positive,2023-01-06
s8240,Would recommend,positive,2024-07-21
s4774,Could be better,neutral,2022-09-06
s4451,Amazing visuals,negative,2024-06-09
s6082,Loved it!,positive,2022-06-30
s3970,Too slow,positive,2023-12-04
s197,Amazing visuals,positive,2024-09-25
s4991,Loved it!,positive,2022-03-19
s3144,Pretty good,neutral,2024-07-07
s624,Could be better,neutral,2024-06-03
s1681,Would recommend,neutral,2022-12-02
s7860,Didn't enjoy it,positive,2022-02-19
s5970,Great plot,positive,2022-03-26
s3334,Amazing visuals,positive,2023-11-26
s842,Loved it!,positive,2022-01-04
s8684,Didn't enjoy it,neutral,2024-09-19
s6887,Amazing visuals,positive,2022-11-13
s5585,Could be better,positive,2024-02-02
s8219,Would recommend,positive,2023-09-04
s8684,Not for me,positive,2024-10-01
s24,Amazing visuals,positive,2024-07-02
s2615,Amazing visuals,negative,2024-03-09
s3986,Would recommend,positive,2022-04-29
s2652,Pretty good,neutral,2022-12-16
s1374,Bad acting,positive,2024-07-05
s6915,Amazing visuals,positive,2023-11-18
s409,Would recommend,negative,2023-06-26
s2030,Bad acting,positive,2024-12-14
s7739,Would recommend,neutral,2022-12-27
s1169,Would recommend,positive,2023-12-09
s6379,Pretty good,neutral,2023-11-16
s1143,Would recommend,neutral,2022-11-26
s5636,Could be better,negative,2022-08-07
s7829,Amazing visuals,negative,2022-07-27
s1043,Loved it!,neutral,2024-04-24
s3413,Loved it!,positive,2022-03-26
s8750,Loved it!,neutral,2023-11-16
s5813,Would recommend,neutral,2022-09-02
s7304,Didn't enjoy it,positive,2024-05-21
s215,Bad acting,positive,2024-10-19
s5548,Bad acting,negative,2023-08-19
s3729,Would recommend,positive,2023-11-16
s625,Could be better,positive,2024-10-10
s8084,Could be better,negative,2024-10-10
s4454,Great plot,positive,2022-12-16
s5329,Would recommend,positive,2022-10-09
s829,Too slow,neutral,2022-10-20
s5587,Pretty good,positive,2024-09-10
s7808,Loved it!,neutral,2022-01-20
s6649,Pretty good,positive,2024-01-29
s8610,Loved it!,positive,2023-02-09
s5013,Not for me,positive,2023-12-02
s3015,Not for me,negative,2024-09-06
s878,Would recommend,positive,2022-01-26
s6968,Not for me,positive,2023-07-20
s3028,Didn't enjoy it,positive,2023-01-30
s7838,Great plot,positive,2024-09-27
s5813,Could be better,positive,2023-06-07
s4660,Didn't enjoy it,positive,2024-05-11
s7199,Pretty good,neutral,2024-03-12
s2830,Pretty good,positive,2023-07-04
s3581,Not for me,neutral,2022-03-28
s4646,Could be better,neutral,2024-04-12
s5707,Great plot,positive,2023-01-22
s4902,Loved it!,positive,2024-08-20
s6398,Didn't enjoy it,neutral,2023-10-30
s8569,Great plot,neutral,2022-10-13
s1374,Amazing visuals,positive,2023-11-29
s7869,Bad acting,negative,2024-08-22
s1871,Not for me,positive,2023-01-04
s8596,Loved it!,positive,2023-10-17
s1596,Amazing visuals,positive,2023-10-16
s7529,Loved it!,negative,2023-11-28
s1517,Loved it!,neutral,2024-10-20
s1955,Not for me,neutral,2024-07-03
s2581,Loved it!,positive,2022-10-15
s7363,Great plot,positive,2022-04-05
s6072,Great plot,positive,2023-10-31
s4393,Amazing visuals,negative,2022-02-10
s4141,Pretty good,positive,2022-11-27
s6373,Could be better,positive,2023-05-19
s6565,Didn't enjoy it,positive,2022-10-02
s4585,Didn't enjoy it,negative,2022-06-28
s6256,Too slow,positive,2022-05-17
s1740,Not for me,positive,2024-02-06
s1898,Would recommend,positive,2024-09-14
s6670,Would recommend,negative,2022-08-31
s4333,Amazing visuals,negative,2022-07-16
s6988,Loved it!,neutral,2023-06-10
s7900,Loved it!,positive,2023-09-24
s430,Not for me,positive,2023-02-12
s4126,Bad acting,negative,2023-11-22
s8634,Pretty good,positive,2022-06-19
s6539,Too slow,positive,2022-06-08
s1732,Great plot,positive,2023-03-23
s8184,Loved it!,negative,2024-10-14
s7257,Too slow,positive,2024-12-16
s1781,Didn't enjoy it,neutral,2022-04-22
s4329,Bad acting,negative,2022-02-17
s5242,Great plot,positive,2023-01-11
s2908,Not for me,positive,2024-04-07
s7529,Too slow,negative,2022-02-02
s5937,Amazing visuals,negative,2023-05-19
s5651,Great plot,negative,2023-09-19
s5007,Not for me,neutral,2024-10-23
s1671,Would recommend,positive,2022-02-11
s5716,Not for me,negative,2022-01-09
s5423,Not for me,positive,2024-09-26
s8474,Great plot,negative,2024-03-29
s1935,Bad acting,negative,2023-10-19
s6253,Great plot,neutral,2024-02-29
s20,Could be better,negative,2024-11-16
s2116,Pretty good,neutral,2024-12-02
s7520,Bad acting,positive,2023-08-21
s7969,Amazing visuals,neutral,2024-07-24
s3413,Bad acting,positive,2024-10-08
s3756,Didn't enjoy it,neutral,2022-01-21
s1560,Amazing visuals,positive,2024-09-25
s6553,Would recommend,positive,2023-04-02
s5274,Great plot,negative,2024-10-10
s4873,Not for me,negative,2022-09-22
s4569,Great plot,positive,2022-07-03
s5428,Didn't enjoy it,neutral,2022-08-15
s683,Too slow,neutral,2024-12-28
s4990,Didn't enjoy it,negative,2024-08-26
s4971,Could be better,positive,2024-03-15
s8430,Not for me,neutral,2023-12-24
s7699,Not for me,negative,2024-12-31
s6038,Loved it!,positive,2024-09-28
s7497,Too slow,negative,2024-05-24
s1018,Loved it!,negative,2022-03-25
s5506,Would recommend,negative,2024-01-10
s8093,Pretty good,positive,2022-08-11
s2273,Pretty good,positive,2024-03-03
s5497,Great plot,negative,2024-01-03
s6811,Pretty good,positive,2023-02-09
s8447,Not for me,neutral,2022-11-25
s2511,Didn't enjoy it,positive,2023-03-02
s7123,Too slow,positive,2024-02-09
s5186,Great plot,positive,2023-08-31
s7607,Great plot,neutral,2023-06-10
s8408,Too slow,positive,2023-09-17
s1730,Not for me,neutral,2022-03-18
s4068,Would recommend,neutral,2024-07-08
s8675,Would recommend,neutral,2024-08-03
s5614,Great plot,neutral,2023-04-11
s7750,Would recommend,positive,2023-05-07
s8576,Not for me,positive,2022-11-09
s4463,Could be better,positive,2022-11-04
s6396,Could be better,neutral,2023-11-22
s7354,Loved it!,neutral,2022-03-30
s6565,Bad acting,positive,2024-01-05
s6381,Amazing visuals,positive,2024-02-17
s762,Pretty good,neutral,2024-01-21
s3480,Would recommend,positive,2023-01-06
s6027,Could be better,negative,2023-03-27
s6342,Didn't enjoy it,positive,2022-06-16
s7239,Too slow,negative,2023-01-27
s57,Bad acting,positive,2024-01-06
s995,Loved it!,positive,2023-05-06
s7221,Amazing visuals,positive,2024-07-13
s7257,Could be better,positive,2024-12-02
s1243,Loved it!,positive,2024-08-02
s5352,Bad acting,positive,2022-01-29
s5930,Too slow,neutral,2024-11-20
s7381,Pretty good,positive,2023-11-24
s3035,Could be better,neutral,2022-05-08
s1314,Too slow,positive,2024-02-06
s4293,Amazing visuals,negative,2023-03-17
s3769,Would recommend,neutral,2024-05-18
s1594,Bad acting,positive,2023-06-08
s4867,Amazing visuals,positive,2024-01-30
s1544,Pretty good,positive,2022-04-20
s7360,Too slow,positive,2022-06-12
s4247,Not for me,neutral,2023-07-14
s1057,Pretty good,neutral,2023-02-03
s7826,Great plot,negative,2023-08-06
s5794,Could be better,neutral,2023-02-03
s1407,Would recommend,negative,2022-08-27
s7290,Bad acting,negative,2024-11-21
s8535,Didn't enjoy it,negative,2022-04-20
s3258,Too slow,positive,2022-10-27
s458,Not for me,positive,2024-09-28
s752,Didn't enjoy it,positive,2024-02-03
s1569,Could be better,neutral,2022-09-06
s4665,Could be better,positive,2023-06-05
s1551,Bad acting,positive,2022-02-03
s5651,Not for me,positive,2022-08-16
s684,Could be better,positive,2023-08-08
s1537,Didn't enjoy it,neutral,2024-08-15
s292,Not for me,positive,2024-03-23
s1546,Didn't enjoy it,neutral,2023-12-25
s6758,Pretty good,neutral,2023-08-07
s1808,Amazing visuals,positive,2023-07-24
s5025,Not for me,neutral,2022-08-08
s7230,Loved it!,neutral,2024-02-26
s2128,Amazing visuals,positive,2023-06-12
s2246,Amazing visuals,positive,2022-03-16
s4656,Not for me,positive,2022-05-16
s338,Would recommend,neutral,2022-03-15
s7516,Could be better,neutral,2022-09-11
s2030,Pretty good,positive,2024-11-07
s1056,Would recommend,positive,2024-10-18
s1923,Would recommend,positive,2024-12-02
s57,Loved it!,negative,2022-02-19
s8488,Too slow,positive,2023-05-30
s7039,Not for me,negative,2024-01-14
s4535,Didn't enjoy it,positive,2024-01-01
s801,Could be better,neutral,2023-07-25
s7022,Would recommend,neutral,2023-07-30
s1741,Pretty good,neutral,2024-06-21
s1692,Too slow,positive,2022-07-21
s743,Loved it!,neutral,2022-07-26
s6221,Great plot,positive,2023-02-19
s3258,Could be better,positive,2022-08-09
s3481,Great plot,neutral,2024-01-28
s2305,Amazing visuals,negative,2024-02-02
s6565,Would recommend,neutral,2023-07-17
s8002,Bad acting,positive,2023-01-04
s5817,Could be better,neutral,2024-06-14
s7740,Didn't enjoy it,neutral,2022-07-23
s6664,Too slow,negative,2024-11-14
s5880,Pretty good,negative,2024-08-14
s8581,Could be better,neutral,2022-03-10
s5750,Didn't enjoy it,positive,2023-05-31
s4039,Not for me,neutral,2022-08-28
s5837,Great plot,neutral,2022-12-27
s2355,Not for me,negative,2024-11-20
s6177,Too slow,positive,2023-12-08
s836,Loved it!,positive,2023-11-21
s3335,Would recommend,positive,2023-10-19
s4120,Could be better,neutral,2022-12-10
s5285,Bad acting,negative,2023-06-20
s7324,Great plot,positive,2022-12-21
s6525,Great plot,neutral,2024-07-16
s7871,Could be better,neutral,2024-09-09
s7661,Amazing visuals,neutral,2022-04-15
s7486,Not for me,positive,2024-08-19
s4271,Great plot,negative,2023-06-11
s1227,Didn't enjoy it,positive,2023-05-19
s3963,Pretty good,neutral,2024-07-19
s5336,Would recommend,positive,2023-12-10
s1618,Great plot,positive,2022-08-23
s5325,Didn't enjoy it,negative,2024-10-26
s1729,Too slow,positive,2023-05-09
s4442,Too slow,positive,2024-05-27
s4095,Would recommend,neutral,2024-08-24
s8107,Amazing visuals,neutral,2024-08-23
s5307,Bad acting,neutral,2024-08-21
s1003,Would recommend,positive,2024-06-15
s88,Loved it!,positive,2022-08-05
s4468,Amazing visuals,positive,2023-09-15
s4111,Great plot,positive,2022-12-19
s6887,Would recommend,negative,2023-11-23
s8396,Not for me,positive,2023-11-06
s5287,Too slow,positive,2023-09-23
s1075,Didn't enjoy it,positive,2022-11-21
s197,Would recommend,positive,2024-06-19
s8444,Not for me,neutral,2022-11-04
s2671,Amazing visuals,neutral,2023-10-16
s2111,Loved it!,positive,2022-10-12
s3568,Didn't enjoy it,positive,2023-01-27
s6297,Pretty good,positive,2022-12-26
s4051,Loved it!,neutral,2024-02-08
s7501,Great plot,neutral,2024-03-07
s8783,Not for me,positive,2024-07-20
s120,Would recommend,positive,2022-06-14
s880,Would recommend,neutral,2024-01-03
s409,Could be better,negative,2023-08-04
s96,Too slow,negative,2024-03-31
s6869,Great plot,positive,2022-05-04
s4735,Not for me,positive,2022-12-10
s2604,Would recommend,positive,2023-06-08
s6746,Pretty good,neutral,2024-12-11
s6056,Didn't enjoy it,negative,2022-05-09
s7022,Great plot,positive,2023-10-19
s2095,Amazing visuals,positive,2024-01-08
s6871,Pretty good,positive,2024-07-27
